stage,seed,method,family,f1,roc_auc,pr_auc
final,111001,known_diverse,baseline,0.7706422018348624,0.884122463510146,0.8007940720417774
final,111001,known_unknown_stable_k150_w20,stable_fusion,0.7619047619047619,0.8860804556781774,0.7846026825657432
final,111001,known_unknown_stable_k150_w10,stable_fusion,0.7735849056603774,0.8864364542541832,0.7914949320863249
final,111001,known_unknown_all_w05,all_fusion,0.7592592592592593,0.8855464578141687,0.8018734369578646
final,111001,known_unknown_all_w20,all_fusion,0.7592592592592593,0.8882164471342116,0.7938354555815741
final,111002,known_diverse,baseline,0.7894736842105263,0.9072623709505162,0.8486533545073038
final,111002,known_unknown_stable_k150_w20,stable_fusion,0.7758620689655172,0.9045923816304736,0.841012596026767
final,111002,known_unknown_stable_k150_w10,stable_fusion,0.7758620689655172,0.907440370238519,0.8476672333948114
final,111002,known_unknown_all_w05,all_fusion,0.782608695652174,0.9081523673905304,0.8504115936935419
final,111002,known_unknown_all_w20,all_fusion,0.7894736842105263,0.9067283730865076,0.8401418442788131
final,111003,known_diverse,baseline,0.803921568627451,0.912246351014596,0.8436700116137295
final,111003,known_unknown_stable_k150_w20,stable_fusion,0.8113207547169812,0.9111783552865788,0.8472856275620161
final,111003,known_unknown_stable_k150_w10,stable_fusion,0.819047619047619,0.9129583481666074,0.8488977450951614
final,111003,known_unknown_all_w05,all_fusion,0.803921568627451,0.9124243503025988,0.8452638833279588
final,111003,known_unknown_all_w20,all_fusion,0.8113207547169812,0.911000355998576,0.8417227035864034
final,111004,known_diverse,baseline,0.8214285714285714,0.917942328230687,0.8522474419478501
final,111004,known_unknown_stable_k150_w20,stable_fusion,0.8181818181818182,0.91438234247063,0.8496899567203131
final,111004,known_unknown_stable_k150_w10,stable_fusion,0.8181818181818182,0.9172303310786756,0.857109120293468
final,111004,known_unknown_all_w05,all_fusion,0.8108108108108109,0.9182983268066928,0.8576441695466762
final,111004,known_unknown_all_w20,all_fusion,0.8108108108108109,0.9159843360626556,0.8532405506285087
final,111005,known_diverse,baseline,0.7777777777777778,0.8880384478462087,0.8396688294011408
final,111005,known_unknown_stable_k150_w20,stable_fusion,0.7706422018348624,0.8875044499822,0.8333150991620706
final,111005,known_unknown_stable_k150_w10,stable_fusion,0.7777777777777778,0.8903524385902457,0.8432729763457526
final,111005,known_unknown_all_w05,all_fusion,0.7706422018348624,0.8885724457102171,0.8399628444053906
final,111005,known_unknown_all_w20,all_fusion,0.7663551401869159,0.8843004627981488,0.8307101007461833
final,111006,known_diverse,baseline,0.7522935779816514,0.902990388038448,0.8367309623079069
final,111006,known_unknown_stable_k150_w20,stable_fusion,0.7407407407407407,0.9024563901744392,0.8306637231328068
final,111006,known_unknown_stable_k150_w10,stable_fusion,0.7339449541284404,0.9053043787824848,0.8384477609359751
final,111006,known_unknown_all_w05,all_fusion,0.7522935779816514,0.9040583837664647,0.8371675812960547
final,111006,known_unknown_all_w20,all_fusion,0.7407407407407407,0.9013883944464224,0.8290702315867462
final,111007,known_diverse,baseline,0.7184466019417476,0.8782484870060518,0.8083293677395176
final,111007,known_unknown_stable_k150_w20,stable_fusion,0.7128712871287128,0.8825204699181203,0.8153895275680852
final,111007,known_unknown_stable_k150_w10,stable_fusion,0.7254901960784313,0.8814524741901033,0.8122406800502542
final,111007,known_unknown_all_w05,all_fusion,0.7184466019417476,0.8778924884300463,0.8072052973574555
final,111007,known_unknown_all_w20,all_fusion,0.693069306930693,0.8784264862940547,0.8080655090078211
final,111008,known_diverse,baseline,0.7857142857142857,0.9236383054467784,0.8625838663597198
final,111008,known_unknown_stable_k150_w20,stable_fusion,0.8214285714285714,0.9166963332146671,0.845396237041551
final,111008,known_unknown_stable_k150_w10,stable_fusion,0.7857142857142857,0.9206123175507298,0.8549488285840355
final,111008,known_unknown_all_w05,all_fusion,0.7857142857142857,0.9232823068707724,0.8600544688493373
final,111008,known_unknown_all_w20,all_fusion,0.7927927927927928,0.9190103239587042,0.848263415498559
final,111009,known_diverse,baseline,0.7652173913043478,0.8826984692061232,0.8239006232149911
final,111009,known_unknown_stable_k150_w20,stable_fusion,0.7454545454545455,0.8737985048059808,0.8111385089264634
final,111009,known_unknown_stable_k150_w10,stable_fusion,0.75,0.8803844784620861,0.8232424919908639
final,111009,known_unknown_all_w05,all_fusion,0.7610619469026548,0.8826984692061233,0.8260768541392146
final,111009,known_unknown_all_w20,all_fusion,0.7522935779816514,0.8778924884300463,0.8218876739598419
final,111010,known_diverse,baseline,0.7857142857142857,0.9045923816304734,0.8342125522881993
final,111010,known_unknown_stable_k150_w20,stable_fusion,0.7289719626168224,0.8974724101103595,0.8321232533735017
final,111010,known_unknown_stable_k150_w10,stable_fusion,0.7522935779816514,0.9013883944464224,0.8321089282558044
final,111010,known_unknown_all_w05,all_fusion,0.7747747747747747,0.9033463866144535,0.8337749479346219
final,111010,known_unknown_all_w20,all_fusion,0.7522935779816514,0.9006763972944108,0.8339844298863821
final,111011,known_diverse,baseline,0.7678571428571429,0.9053043787824848,0.845886428533205
final,111011,known_unknown_stable_k150_w20,stable_fusion,0.7522935779816514,0.9058383766464934,0.8474346857087268
final,111011,known_unknown_stable_k150_w10,stable_fusion,0.7610619469026548,0.9067283730865076,0.848539567422355
final,111011,known_unknown_all_w05,all_fusion,0.7678571428571429,0.9056603773584904,0.846423762891992
final,111011,known_unknown_all_w20,all_fusion,0.7636363636363637,0.9072623709505162,0.8497544112724971
final,111012,known_diverse,baseline,0.7678571428571429,0.9280882876468496,0.8480967428159618
final,111012,known_unknown_stable_k150_w20,stable_fusion,0.831858407079646,0.930758276966892,0.8574157981180484
final,111012,known_unknown_stable_k150_w10,stable_fusion,0.7964601769911505,0.9300462798148807,0.8556892629942786
final,111012,known_unknown_all_w05,all_fusion,0.7747747747747747,0.9279102883588466,0.8490950678174971
final,111012,known_unknown_all_w20,all_fusion,0.8214285714285714,0.9312922748309006,0.8567907437209503
final,111013,known_diverse,baseline,0.7636363636363637,0.9072623709505162,0.8356292191099541
final,111013,known_unknown_stable_k150_w20,stable_fusion,0.7706422018348624,0.9058383766464934,0.8291628308650955
final,111013,known_unknown_stable_k150_w10,stable_fusion,0.7818181818181819,0.908686365254539,0.8379822386832716
final,111013,known_unknown_all_w05,all_fusion,0.7636363636363637,0.9085083659665362,0.8383080325700348
final,111013,known_unknown_all_w20,all_fusion,0.8,0.9113563545745818,0.8395791961376035
final,111014,known_diverse,baseline,0.7652173913043478,0.9172303310786756,0.8343421285966314
final,111014,known_unknown_stable_k150_w20,stable_fusion,0.7636363636363637,0.911000355998576,0.8227097814576741
final,111014,known_unknown_stable_k150_w10,stable_fusion,0.7678571428571429,0.9150943396226416,0.8281760980600362
final,111014,known_unknown_all_w05,all_fusion,0.7543859649122807,0.9154503381986472,0.8306117652905727
final,111014,known_unknown_all_w20,all_fusion,0.7636363636363637,0.9127803488786044,0.8263962971239138
final,111015,known_diverse,baseline,0.75,0.8697045211819153,0.8042830517472017
final,111015,known_unknown_stable_k150_w20,stable_fusion,0.7706422018348624,0.8681025275898897,0.8009181157524644
final,111015,known_unknown_stable_k150_w10,stable_fusion,0.7522935779816514,0.8704165183339267,0.8054468635118929
final,111015,known_unknown_all_w05,all_fusion,0.7567567567567568,0.8707725169099324,0.8048649040752437
final,111015,known_unknown_all_w20,all_fusion,0.7706422018348624,0.870060519757921,0.8033524260384863
final,111016,known_diverse,baseline,0.8256880733944955,0.9243503025987896,0.8564857512357368
final,111016,known_unknown_stable_k150_w20,stable_fusion,0.8440366972477065,0.9218583125667495,0.858684254266644
final,111016,known_unknown_stable_k150_w10,stable_fusion,0.8256880733944955,0.924884300462798,0.8582275785592238
final,111016,known_unknown_all_w05,all_fusion,0.8181818181818182,0.9247063011747954,0.8577120523100034
final,111016,known_unknown_all_w20,all_fusion,0.8333333333333334,0.9225703097187612,0.8578904569129461
final,111017,known_diverse,baseline,0.7850467289719626,0.9001423994304023,0.8354657162228672
final,111017,known_unknown_stable_k150_w20,stable_fusion,0.780952380952381,0.901744393022428,0.8400814722689014
final,111017,known_unknown_stable_k150_w10,stable_fusion,0.7663551401869159,0.9024563901744392,0.8391043470594158
final,111017,known_unknown_all_w05,all_fusion,0.7924528301886793,0.9006763972944107,0.8371407158352295
final,111017,known_unknown_all_w20,all_fusion,0.7884615384615384,0.8994304022783909,0.8384181198465342
final,111018,known_diverse,baseline,0.7547169811320755,0.8930224279102884,0.8323121107988525
final,111018,known_unknown_stable_k150_w20,stable_fusion,0.7889908256880734,0.8955144179423282,0.839305792884437
final,111018,known_unknown_stable_k150_w10,stable_fusion,0.7889908256880734,0.8944464222143113,0.8381558768465243
final,111018,known_unknown_all_w05,all_fusion,0.7547169811320755,0.8948024207903168,0.8360631084419229
final,111018,known_unknown_all_w20,all_fusion,0.7924528301886793,0.894624421502314,0.836060873914014
final,111019,known_diverse,baseline,0.7663551401869159,0.8809184763260947,0.8125549685330569
final,111019,known_unknown_stable_k150_w20,stable_fusion,0.7522935779816514,0.8745105019579922,0.8148040463583218
final,111019,known_unknown_stable_k150_w10,stable_fusion,0.7476635514018691,0.8793164827340691,0.8193210773425308
final,111019,known_unknown_all_w05,all_fusion,0.7547169811320755,0.8814524741901033,0.8172570815486057
final,111019,known_unknown_all_w20,all_fusion,0.7522935779816514,0.8812744749021004,0.8182507922521391
final,111020,known_diverse,baseline,0.7663551401869159,0.9067283730865076,0.8428163801370382
final,111020,known_unknown_stable_k150_w20,stable_fusion,0.7619047619047619,0.9013883944464224,0.8373712187136808
final,111020,known_unknown_stable_k150_w10,stable_fusion,0.7619047619047619,0.9060163759344964,0.845346874057231
final,111020,known_unknown_all_w05,all_fusion,0.7547169811320755,0.908864364542542,0.8493240727154255
final,111020,known_unknown_all_w20,all_fusion,0.7619047619047619,0.9083303666785332,0.8448211181098737
final,111021,known_diverse,baseline,0.7368421052631579,0.8681025275898896,0.8003179823949472
final,111021,known_unknown_stable_k150_w20,stable_fusion,0.7433628318584071,0.8659665361338555,0.8045644399746633
final,111021,known_unknown_stable_k150_w10,stable_fusion,0.7413793103448276,0.8661445354218583,0.8013157794723361
final,111021,known_unknown_all_w05,all_fusion,0.7304347826086957,0.8661445354218583,0.799136508762177
final,111021,known_unknown_all_w20,all_fusion,0.7304347826086957,0.8648985404058385,0.8026048715737366
final,111022,known_diverse,baseline,0.7706422018348624,0.9102883588465648,0.8347421949756212
final,111022,known_unknown_stable_k150_w20,stable_fusion,0.7547169811320755,0.9074403702385192,0.8286199403263593
final,111022,known_unknown_stable_k150_w10,stable_fusion,0.7547169811320755,0.9113563545745816,0.8366112914877781
final,111022,known_unknown_all_w05,all_fusion,0.7850467289719626,0.9117123531505876,0.8365785459332693
final,111022,known_unknown_all_w20,all_fusion,0.7619047619047619,0.9104663581345672,0.8294835086105316
final,111023,known_diverse,baseline,0.7777777777777778,0.8802064791740832,0.8109376625883744
final,111023,known_unknown_stable_k150_w20,stable_fusion,0.7777777777777778,0.8773584905660378,0.8125791874730544
final,111023,known_unknown_stable_k150_w10,stable_fusion,0.7777777777777778,0.8794944820220719,0.8142309100686873
final,111023,known_unknown_all_w05,all_fusion,0.7777777777777778,0.8802064791740832,0.8122978764730743
final,111023,known_unknown_all_w20,all_fusion,0.7592592592592593,0.877180491278035,0.8110174274464428
final,111024,known_diverse,baseline,0.7863247863247863,0.9070843716625132,0.821315533258989
final,111024,known_unknown_stable_k150_w20,stable_fusion,0.7787610619469026,0.9095763616945532,0.8221445302640767
final,111024,known_unknown_stable_k150_w10,stable_fusion,0.7719298245614035,0.909932360270559,0.8248152673672685
final,111024,known_unknown_all_w05,all_fusion,0.7758620689655172,0.9079743681025276,0.8203553121833849
final,111024,known_unknown_all_w20,all_fusion,0.7719298245614035,0.9081523673905304,0.8180974476603574
final,111025,known_diverse,baseline,0.7735849056603774,0.898184407262371,0.812197127164107
final,111025,known_unknown_stable_k150_w20,stable_fusion,0.7735849056603774,0.8978284086863653,0.8169888007749072
final,111025,known_unknown_stable_k150_w10,stable_fusion,0.7735849056603774,0.9001423994304022,0.817371624136059
final,111025,known_unknown_all_w05,all_fusion,0.7619047619047619,0.8990744037023851,0.8128077041761429
final,111025,known_unknown_all_w20,all_fusion,0.7619047619047619,0.8999644001423994,0.8206483812873738
final,111026,known_diverse,baseline,0.7476635514018691,0.8948024207903169,0.824525204129875
final,111026,known_unknown_stable_k150_w20,stable_fusion,0.7358490566037735,0.8891064435742256,0.8271526552054432
final,111026,known_unknown_stable_k150_w10,stable_fusion,0.7428571428571429,0.8930224279102883,0.8267511110612709
final,111026,known_unknown_all_w05,all_fusion,0.7238095238095238,0.8955144179423282,0.8282582701833956
final,111026,known_unknown_all_w20,all_fusion,0.7238095238095238,0.8956924172303311,0.8330624176541657
final,111027,known_diverse,baseline,0.7522935779816514,0.8978284086863653,0.845786184377635
final,111027,known_unknown_stable_k150_w20,stable_fusion,0.7592592592592593,0.8958704165183339,0.8457999744133753
final,111027,known_unknown_stable_k150_w10,stable_fusion,0.7592592592592593,0.8990744037023852,0.849680564619104
final,111027,known_unknown_all_w05,all_fusion,0.7663551401869159,0.8990744037023851,0.8499295026833287
final,111027,known_unknown_all_w20,all_fusion,0.7735849056603774,0.8976504093983624,0.8453603796129923
final,111028,known_diverse,baseline,0.780952380952381,0.9186543253826984,0.8247080626050389
final,111028,known_unknown_stable_k150_w20,stable_fusion,0.7572815533980582,0.9113563545745816,0.816904469719237
final,111028,known_unknown_stable_k150_w10,stable_fusion,0.7647058823529411,0.9181203275186898,0.825578981503859
final,111028,known_unknown_all_w05,all_fusion,0.7884615384615384,0.919010323958704,0.8253470355079424
final,111028,known_unknown_all_w20,all_fusion,0.7450980392156863,0.9150943396226416,0.8207652120354743
final,111029,known_diverse,baseline,0.7619047619047619,0.8935564257742968,0.8370933911737527
final,111029,known_unknown_stable_k150_w20,stable_fusion,0.72,0.8960484158063368,0.8416547171277361
final,111029,known_unknown_stable_k150_w10,stable_fusion,0.7647058823529411,0.8960484158063368,0.8420727471029996
final,111029,known_unknown_all_w05,all_fusion,0.7692307692307693,0.8955144179423281,0.8414411294960504
final,111029,known_unknown_all_w20,all_fusion,0.7272727272727273,0.8953364186543253,0.8399410192581914
final,111030,known_diverse,baseline,0.7610619469026548,0.8914204343182627,0.8082763396017248
final,111030,known_unknown_stable_k150_w20,stable_fusion,0.7222222222222222,0.8926664293342828,0.8128575328851225
final,111030,known_unknown_stable_k150_w10,stable_fusion,0.7155963302752294,0.8928444286222855,0.8168334897193879
final,111030,known_unknown_all_w05,all_fusion,0.7610619469026548,0.8919544321822713,0.8105223855896344
final,111030,known_unknown_all_w20,all_fusion,0.7155963302752294,0.8903524385902456,0.8132364302325626
final,111031,known_diverse,baseline,0.8181818181818182,0.9188323246707014,0.872858315831942
final,111031,known_unknown_stable_k150_w20,stable_fusion,0.8392857142857143,0.9142043431826272,0.8714085666990277
final,111031,known_unknown_stable_k150_w10,stable_fusion,0.8363636363636363,0.9186543253826984,0.8771601735248292
final,111031,known_unknown_all_w05,all_fusion,0.8363636363636363,0.9186543253826984,0.873790186820016
final,111031,known_unknown_all_w20,all_fusion,0.8256880733944955,0.915806336774653,0.8730494317943223
final,111032,known_diverse,baseline,0.8245614035087719,0.9257742969028124,0.8721961661480395
final,111032,known_unknown_stable_k150_w20,stable_fusion,0.7927927927927928,0.9245283018867924,0.8727495159646806
final,111032,known_unknown_stable_k150_w10,stable_fusion,0.8245614035087719,0.925240299038804,0.8719484065520099
final,111032,known_unknown_all_w05,all_fusion,0.831858407079646,0.9252402990388038,0.8706465904899423
final,111032,known_unknown_all_w20,all_fusion,0.831858407079646,0.9261302954788182,0.8711956950222273
