stage,seed,method,family,f1,roc_auc,pr_auc
verify,110001,known_diverse,baseline,0.7663551401869159,0.8992524029903881,0.8137437496272982
verify,110001,known_unknown_stable_k150_w10,stable_fusion,0.7735849056603774,0.9006763972944107,0.8158646902796163
verify,110001,known_unknown_all_w20,all_fusion,0.7735849056603774,0.8937344250622997,0.8106429147963284
verify,110001,known_unknown_stable_k150_w20,stable_fusion,0.7619047619047619,0.8974724101103596,0.8163857871716654
verify,110001,known_unknown_all_w05,all_fusion,0.7735849056603774,0.899252402990388,0.81393825861296
verify,110001,appended_stable_k50,stable_append,0.75,0.8873264506941972,0.8209684721952906
verify,110001,appended_all_diverse,direct,0.7592592592592593,0.8800284798860804,0.8084240092403471
verify,110002,known_diverse,baseline,0.7339449541284404,0.9045923816304736,0.8304149581581863
verify,110002,known_unknown_stable_k150_w10,stable_fusion,0.7547169811320755,0.9035243859024564,0.8286126054183751
verify,110002,known_unknown_all_w20,all_fusion,0.75,0.9077963688145247,0.8379333371538847
verify,110002,known_unknown_stable_k150_w20,stable_fusion,0.7358490566037735,0.9033463866144535,0.8255797453663062
verify,110002,known_unknown_all_w05,all_fusion,0.7547169811320755,0.9054823780704876,0.8315158556663397
verify,110002,appended_stable_k50,stable_append,0.7289719626168224,0.8908864364542542,0.816955512376011
verify,110002,appended_all_diverse,direct,0.7619047619047619,0.8800284798860806,0.8213382506830653
verify,110003,known_diverse,baseline,0.7478260869565218,0.8794944820220719,0.798789419888525
verify,110003,known_unknown_stable_k150_w10,stable_fusion,0.7543859649122807,0.8787824848700605,0.7978346153122625
verify,110003,known_unknown_all_w20,all_fusion,0.7256637168141593,0.8794944820220719,0.7997321297372119
verify,110003,known_unknown_stable_k150_w20,stable_fusion,0.7543859649122807,0.875934496262015,0.799291940493183
verify,110003,known_unknown_all_w05,all_fusion,0.7478260869565218,0.8802064791740833,0.7989918537971726
verify,110003,appended_stable_k50,stable_append,0.7008547008547008,0.8647205411178355,0.7874617480371067
verify,110003,appended_all_diverse,direct,0.711864406779661,0.8648985404058385,0.7975693725657681
verify,110004,known_diverse,baseline,0.7706422018348624,0.9035243859024564,0.8333718540253539
verify,110004,known_unknown_stable_k150_w10,stable_fusion,0.7636363636363637,0.9044143823424706,0.8350175775762727
verify,110004,known_unknown_all_w20,all_fusion,0.7818181818181819,0.9031683873264508,0.8329276197780149
verify,110004,known_unknown_stable_k150_w20,stable_fusion,0.7747747747747747,0.9021003915984336,0.836468188830517
